,CV_Estado,Pronóstico (mm),Climatología (mm),Anomalía (mm),Anomalía (%)
Aguascalientes,1,5.0,3.4,1.6,147.1
Baja California,2,15.2,23.6,-8.4,64.4
Baja California Sur,3,1.1,4.0,-2.9,27.5
Campeche,4,22.4,25.5,-3.1,87.8
Chiapas,7,34.6,38.0,-3.4,91.1
Chihuahua,8,5.5,9.3,-3.8,59.1
Ciudad de México,9,12.1,12.0,0.1,100.8
Coahuila,5,13.6,11.6,2.0,117.2
Colima,6,5.9,2.1,3.8,281.0
Durango,10,5.7,7.1,-1.4,80.3
Guanajuato,11,8.4,6.2,2.2,135.5
Guerrero,12,2.2,3.7,-1.5,59.5
Hidalgo,13,20.6,21.0,-0.4,98.1
Jalisco,14,5.7,3.3,2.4,172.7
Michoacán,16,7.6,5.0,2.6,152.0
Morelos,17,6.7,5.2,1.5,128.8
México,15,12.1,10.5,1.6,115.2
Nayarit,18,1.5,3.1,-1.6,48.4
Nuevo León,19,19.4,19.0,0.4,102.1
Oaxaca,20,15.1,17.4,-2.3,86.8
Puebla,21,19.7,18.2,1.5,108.2
Querétaro,22,12.1,11.2,0.9,108.0
Quintana Roo,23,37.1,40.3,-3.2,92.1
San Luis Potosí,24,13.2,11.5,1.7,114.8
Sinaloa,25,1.4,5.9,-4.5,23.7
Sonora,26,6.5,11.1,-4.6,58.6
Tabasco,27,48.4,50.2,-1.8,96.4
Tamaulipas,28,20.2,19.3,0.9,104.7
Tlaxcala,29,11.2,15.2,-4.0,73.7
Veracruz,30,35.4,33.4,2.0,106.0
Yucatán,31,26.8,34.0,-7.2,78.8
Zacatecas,32,6.0,4.0,2.0,150.0
Nacional,,12.9,13.1,-0.2,98.5
