,CV_ESTADO,Pronóstico (mm),Climatología (mm),Anomalía (mm),Anomalía (%)
P. Baja California (I),1.0,13.4,18.3,-4.9,73.2
Noroeste (II),2.0,15.8,22.1,-6.3,71.5
Pacífico Norte (III),3.0,10.8,18.2,-7.4,59.3
Balsas (IV),4.0,3.0,8.5,-5.5,35.3
Pacífico Sur (V),5.0,2.3,9.7,-7.4,23.7
Río Bravo (VI),6.0,7.5,12.1,-4.6,62.0
C. Cent. del Norte (VII),7.0,5.7,8.4,-2.7,67.9
Lerma-Santiago-P. (VIII),8.0,9.9,12.4,-2.5,79.8
Golfo Norte (IX),9.0,14.5,20.2,-5.7,71.8
Golfo Centro (X),10.0,40.6,46.5,-5.9,87.3
Frontera Sur (XI),11.0,53.1,60.0,-6.9,88.5
P. de Yucatán (XII),12.0,31.1,37.4,-6.3,83.2
A. Valle de México (XIII),13.0,8.1,12.0,-3.9,67.5
Nacional,,14.8,17.6,-2.8,84.1
